beta_var,beta_dvar,vopt,poisson_unc
36.58104517271922,36.58104517271922,36.58104517271922,36.58104517271922
39.210251867937195,42.49896424132463,47.746331985656525,48.9006671714502
45.10829190239442,52.47442711012058,58.19761129207383,76.2757871878393
48.427744838917064,70.94221015786842,79.70140724337453,68.44917494106721
60.02943109409378,71.21610423750607,76.28796754007486,71.02323056261966
69.35550697926935,81.21812181218122,77.19200491477719,75.03321760747504
87.21996799634243,75.19145045148016,84.42536289861698,75.98296948222654
80.62608049606378,80.64894057807432,82.58633252846795,77.56568701690217
80.40577225317902,76.33804829261324,90.23431918845549,78.24260608658379
85.30197602480389,72.32565117375587,89.67694923487977,77.6364857334724
80.51951763159398,69.01040178316283,84.85740412642167,79.02640452649025
70.6631231514424,64.96635089373741,86.89899552774087,88.04206495492019
77.5740862458206,62.563941359700515,87.18315091589747,88.50198611150802
86.36850753732942,61.59034078731157,78.38536829320569,90.40651568193184
87.17564014631915,61.071101966163695,83.82630315500685,96.25485825331505
86.84966348970464,60.890501979052054,78.95488904448223,97.56226512152952
87.68254694064188,62.04452573518905,79.57331885341945,97.30502129118916
84.81444963632985,61.62672725454052,81.32778897129221,96.4861891084723
85.01857673621035,65.93169476993427,77.27636467562161,97.60931694769934
84.66539961988596,68.37908515411766,78.45210706068964,97.62643078637878
81.01260396124496,67.52122095515733,77.7987367458344,97.34773786047043
81.98122240164625,69.01267559340927,75.88922074395873,97.69924403732655
82.75408711558248,68.64782211043786,75.24579855950611,92.1773179375786
79.87709896391569,69.34619506966774,75.35119685602001,92.94176491604145
85.47031754651728,69.51582016177437,75.85388858718953,96.62017320719124
86.39761050690981,69.6611550169351,76.10792734340389,96.35430809026339
85.59852512433545,69.73932430114903,74.00388726919338,96.15560509918252
82.43843878178102,69.60883794714954,75.5998913835732,95.97547555415815
82.66828640846077,69.39402601114763,75.97970558810918,96.38702300986137
78.68627535051237,69.1963583872858,75.11612285440695,96.16973231002301
76.20626572147268,68.9143608506746,74.17676652183856,96.40407043219757
76.23593980019152,69.4227278574185,73.99488330212814,97.37876427458659
82.54294943258154,69.56378812566103,73.28845439213332,97.47448760826687
82.50125062531265,69.68770099335381,73.91552919316801,97.48016865575644
82.42524727002458,69.7658795952204,73.93659596363844,97.54016351266365
78.83881480210968,69.82976716264311,74.87957920615182,97.63303460400498
78.4068494325491,70.00943369257597,75.13507332551957,97.58726165632773
78.74244221780707,69.99471133917469,74.47577936278783,97.58579780163234
76.16066323613494,69.84133790737565,74.3038879359634,97.6672384219554
79.37506253662859,69.63936019668662,73.79750997012536,97.5156877599737
77.54795734583607,69.88907630292461,73.21535778610023,97.53709368478229
79.63034435438912,69.84290349786298,74.41285361007476,96.5893334476893
79.4913945908857,69.6666476070673,74.49253816684774,97.22111041225914
77.48838539060824,69.83346436995211,74.05331999142305,97.38260310199414
80.62869885925036,69.5700031449238,74.05009005918174,97.16242101952712
77.9637756779552,69.57957485740425,73.61228253255757,96.7706888911126
77.5017154620311,69.25606129917658,73.7148330283623,96.54191445562671
75.66582321911052,69.99042186673529,73.8231047447499,97.01219425026089
74.55468191565404,70.25732666190136,73.75268048606148,97.09935668334525
75.11758566955925,70.37841856209523,74.18690760411157,97.12647786244264
75.51609767255675,70.25218733916624,74.88848859152513,97.06210327671985
76.72809412841151,70.10021873704376,74.40919553376128,97.14927016169385
76.59623137849198,70.54156063248791,74.61327309638864,97.28647814027964
76.99621130888555,70.62692115233398,74.51569089999285,97.08342268925584
75.81779709481872,70.39488733844219,73.9462998970605,95.26049410957337
76.326437241754,70.15998741832635,73.8687216733626,95.87235320189296
78.97829630265076,70.30968516771038,73.63958708644306,97.33350490406336
76.93055575413563,70.25349937804721,73.76217097267697,97.2934330364164
79.06205318844724,70.41035173005433,73.99199313697454,97.37060337432085
79.55647063869944,70.57435765452752,74.03594560974564,97.33625016085446
77.7903285767394,70.64256913266036,73.61091252251994,97.37195801996053
77.18804066517008,70.7794157598982,73.21303458827231,97.36477115117891
77.3764584763212,70.8690803019904,73.76172500571951,97.43479752916953
76.3837849431615,71.31193250875813,73.25516551083149,97.45477943804961
76.97400406097178,71.28721365859239,73.13323991191695,97.41327537392398
75.65241016401413,71.09519111149243,73.14572519411436,97.48187550941616
75.85225647772121,71.22061431104501,73.27975747869358,97.50185894869301
75.36714761693669,71.37750067924097,73.44382319715147,97.50325320673235
75.54268554268555,71.55155155155155,73.08165308165309,97.47175747175747
75.39361352228688,71.33950149437287,72.56360022308341,97.45742109854281
75.3160393547649,71.5049765473058,72.18424665370095,97.29435991305343
74.6178157221102,71.28004919415963,72.45127061077982,97.22138801893404
